head	relation	tail
aaa member	CapableOf	get free maps
abusive husband	CapableOf	hit wife
academic	CapableOf	read to become professor
actress	CapableOf	further career
actress	CapableOf	star in film
actress	CapableOf	star in movie
actress	CapableOf	star in play
actress	CapableOf	star in shakespeare play
actress	CapableOf	study lines
administrator	CapableOf	head research group
adult male	CapableOf	grow beard
agile boxer	CapableOf	duck punch
agressive person	CapableOf	push around
air traffic controller	CapableOf	talk on tower frequency
alert person	CapableOf	note small details
ambitious person	CapableOf	get ahead
american	CapableOf	speak english
american	CapableOf	understand english
amish	CapableOf	raise barns
angry person	CapableOf	storm away
angry person	CapableOf	storm out of room
antagonist	CapableOf	needle
appraiser	CapableOf	value antique
arbitrator	CapableOf	bridge differences
art expert	CapableOf	spot forged painting
artilleryman	CapableOf	man artillery
astronaut	CapableOf	journey to moon
astronaut	CapableOf	separate himself from space shuttle
astronaut	CapableOf	space walk
astronomer	CapableOf	spot star
athele	CapableOf	run quickly
auto mechanic	CapableOf	fix automobile
baby cow	CapableOf	milk it's mother
babysitter	CapableOf	mind children
babysitter	CapableOf	shoe toddler
bad student	CapableOf	bank on failing in school
ball holder	CapableOf	position football
ball player	CapableOf	run to another base
ballerina	CapableOf	dance gracefully
bank teller	CapableOf	cash check
bank teller	CapableOf	count dollar bills
bank teller	CapableOf	count out change to customer
baseball player	CapableOf	catch fly ball
baseball player	CapableOf	field pop fly
basketball player	CapableOf	attempt to make basket
bass player	CapableOf	experience oral sex
bather	CapableOf	discover soap slippery
beauty	CapableOf	delight people
believer	CapableOf	pray
bell ringer	CapableOf	hear tintinnabulations
bettor	CapableOf	lose money
bicyclist	CapableOf	use back roads
bidder	CapableOf	raise price
big fish	CapableOf	eat little fish
biographer	CapableOf	write about person
biologist	CapableOf	group animals
birdwatchers	CapableOf	spot different birds
blacksmith	CapableOf	shoe nag
blind	CapableOf	mean lacking power of sight
both men and woman	CapableOf	sing
botonist	CapableOf	water plants
bouncer	CapableOf	prevent passage
breeder	CapableOf	show dog
builder	CapableOf	hit nail into wood
builder	CapableOf	place floor tiles
bungee jumper	CapableOf	experience adrenalin rush
burgler	CapableOf	case house
bus driver	CapableOf	bus school kids to school
bus driver	CapableOf	drive bus
bus driver	CapableOf	help load wheelchair
bus driver	CapableOf	receive change
busdriver	CapableOf	drive bus from station
business person	CapableOf	carry card case
businessman	CapableOf	eye prospect
businessman	CapableOf	present presentation
bussisnessmen	CapableOf	rising money
butcher	CapableOf	bone chicken
calligrapher	CapableOf	letter beautifully
calligrapher	CapableOf	letter document
camper	CapableOf	pack or bag
camper	CapableOf	pitch tent
camper	CapableOf	set up tent
camper	CapableOf	show bear with flashlight
camper	CapableOf	sleep eight people
camper	CapableOf	who has camped
candidate	CapableOf	demand recount
careful person	CapableOf	consider all options carefuly
carpenter	CapableOf	build house
carpenter	CapableOf	build stable
carpenter	CapableOf	coat table with varnish
carpenter	CapableOf	even board
carpenter	CapableOf	fix piece of wood furniture
carpenter	CapableOf	measure board
carpenter	CapableOf	nail board onto deck
carpenter	CapableOf	nail peice of wood
carpenter	CapableOf	saw 2x4s
carpenter	CapableOf	thin wood
carpenter	CapableOf	true board
carpenter	CapableOf	true wall
carpenter	CapableOf	use chisel
carpenter	CapableOf	use hammer
catapiller	CapableOf	become buterfly
chairman	CapableOf	force issue
chairman	CapableOf	meet cabinet
